iter	Passed	Remaining
0	2	208
1	4	203
2	6	197
3	7	182
4	9	189
5	11	186
6	14	198
7	17	199
8	20	203
9	22	199
10	24	194
11	26	192
12	28	188
13	30	188
14	32	186
15	34	183
16	37	181
17	39	181
18	42	180
19	44	177
20	46	175
21	48	171
22	50	169
23	52	167
24	54	163
25	56	161
26	58	158
27	60	156
28	62	153
29	64	150
30	66	147
31	67	144
32	69	141
33	71	139
34	73	136
35	75	134
36	77	131
37	79	129
38	81	126
39	82	124
40	84	121
41	85	117
42	87	115
43	88	113
44	90	110
45	92	108
46	94	106
47	95	103
48	97	101
49	99	99
50	101	97
51	102	94
52	104	92
53	106	90
54	107	87
55	108	85
56	110	83
57	112	81
58	114	79
59	115	77
60	117	75
61	119	73
62	121	71
63	122	69
64	125	67
65	127	65
66	129	63
67	131	61
68	132	59
69	134	57
70	136	55
71	138	53
72	140	51
73	141	49
74	143	47
75	145	45
76	147	43
77	148	42
78	150	40
79	152	38
80	153	36
81	155	34
82	157	32
83	158	30
84	160	28
85	162	26
86	163	24
87	165	22
88	167	20
89	169	18
90	171	16
91	173	15
92	174	13
93	176	11
94	178	9
95	179	7
96	181	5
97	183	3
98	185	1
99	186	0
